tax_class,yearly_tax,norm
318,559.54,wltp
319,561,wltp
320,562.83,wltp
321,564.29,wltp
322,565.75,wltp
323,567.57,wltp
324,569.03,wltp
325,570.49,wltp
326,571.95,wltp
327,573.78,wltp
328,575.24,wltp
329,576.7,wltp
330,578.16,wltp
331,579.62,wltp
332,581.08,wltp
333,582.54,wltp
334,584,wltp
335,585.46,wltp
336,586.92,wltp
337,588.38,wltp
338,589.84,wltp
339,590.93,wltp
340,592.39,wltp
341,593.85,wltp
342,595.31,wltp
343,596.41,wltp
344,597.87,wltp
345,599.33,wltp
346,600.42,wltp
347,601.88,wltp
348,602.98,wltp
349,604.44,wltp
350,605.53,wltp
351,606.99,wltp
352,608.09,wltp
353,609.18,wltp
354,610.64,wltp
355,611.74,wltp
356,612.83,wltp
357,613.93,wltp
358,615.02,wltp
359,616.48,wltp
360,617.58,wltp
361,618.67,wltp
362,619.77,wltp
363,620.86,wltp
364,621.96,wltp
365,623.05,wltp
366,624.15,wltp
367,625.24,wltp
368,626.34,wltp
369,627.43,wltp
370,628.16,wltp
371,629.26,wltp
372,630.35,wltp
373,631.45,wltp
374,632.18,wltp
375,633.27,wltp
376,634.37,wltp
377,635.1,wltp
378,636.19,wltp
379,636.92,wltp
380,638.02,wltp
381,639.11,wltp
382,639.84,wltp
383,640.57,wltp
384,641.67,wltp
385,642.4,wltp
386,643.49,wltp
387,644.22,wltp
388,644.95,wltp
389,646.05,wltp
390,646.78,wltp
391,647.51,wltp
392,648.24,wltp
393,649.33,wltp
394,650.06,wltp
395,650.79,wltp
396,651.52,wltp
397,652.25,wltp
398,652.98,wltp
399,653.71,wltp
400,654.44,wltp
